"ID","GENRE_NAME","GENRE_CODE","REMARKS","DELETE_FLG","VERSION","CREATED","MODIFIED","MODIFIED_BY"
"65","","064","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"66","親睦団体. その他の団体","065","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"67","","066","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"68","","067","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"69","","068","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"70","博物館","069","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"71","ジャーナリズム. 新聞","070","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"72","日本","071","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"73","アジア","072","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"74","ヨーロッパ","073","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"75","アフリカ","074","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"76","北アメリカ","075","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"77","南アメリカ","076","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"78","オセアニア. 両極地方","077","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"79","","078","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"80","","079","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"81","叢書. 全集. 選集","080","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"82","日本語","081","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"83","中国語","082","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"84","英語","083","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"85","ドイツ語","084","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"86","フランス語","085","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"87","スペイン語","086","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"88","イタリア語","087","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"89","ロシア語","088","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"90","その他の諸言語","089","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"91","貴重書. 郷土資料. その他の特別コレクション","090","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"92","","091","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"93","","092","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"94","","093","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"95","","094","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"96","","095","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"97","","096","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"98","","097","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"99","","098","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"100","","099","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"101","哲学","100","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"102","哲学理論","101","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"103","哲学史","102","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"104","参考図書［レファレンスブック］","103","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"105","論文集. 評論集. 講演集","104","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"106","逐次刊行物","105","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"107","団体：学会，協会，会議","106","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"108","研究法. 指導法. 哲学教育","107","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"109","叢書. 全集. 選集","108","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"110","","109","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"111","哲学各論","110","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"112","形而上学. 存在論","111","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"113","自然哲学. 宇宙論","112","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"114","人生観. 世界観","113","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"115","人間学","114","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"116","認識論","115","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"117","論理学. 弁証法. 方法論","116","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"118","価値哲学","117","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"119","文化哲学. 技術哲学","118","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"120","芸術哲学. 美学","119","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"121","東洋思想","120","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"122","日本思想","121","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"123","中国思想. 中国哲学","122","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"124","経書","123","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"125","先秦思想. 諸子百家","124","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"126","中世思想. 近代思想","125","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"127","インド哲学. バラモン教","126","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"128","","127","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"129","","128","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"130","その他の東洋思想. アジア哲学","129","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"131","西洋哲学","130","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"132","古代哲学","131","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"133","中世哲学","132","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"134","近代哲学","133","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"135","ドイツ・オーストリア哲学","134","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"136","フランス・オランダ哲学","135","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"137","スペイン・ポルトガル哲学","136","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"138","イタリア哲学","137","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"139","ロシア哲学","138","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"140","その他の哲学","139","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"141","心理学","140","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"142","普通心理学. 心理各論","141","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"143","","142","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"144","発達心理学","143","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"145","","144","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"146","異常心理学","145","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
"147","臨床心理学. 精神分析学","146","","0","0","2023-08-01 0:00:00","2023-08-01 0:00:00","PATCH"
